PlayerId,Name,Team,Age,G,PA,AB,H,BB,HBP,HR,R,RBI,SB,OBP,SLG,wOBA,wRC+,WAR
10030,Chris Owings,PIT,31,11,25,25,4,0,0,0,0,0,0,0.16,0.16,0.141199198,-21.73275482,-0.274049759
15117,Hunter Dozier,KCR,31,29,91,82,15,8,0,2,8,9,2,0.252747252,0.304878048,0.246750415,47.809207,-0.276646779
5486,Abraham Almonte,NYM,34,8,16,15,1,1,0,0,1,0,0,0.125,0.133333333,0.121216308,-29.09155244,-0.277069065
18316,Edwin Ríos,CHC,29,18,34,28,2,5,1,1,3,2,0,0.235294117,0.214285714,0.219192852,33.01248886,-0.284587978
16403,Francisco Mejía,TBR,27,50,160,150,34,6,1,5,22,19,0,0.257861635,0.4,0.279750929,79.36903796,-0.285587592
16451,Luis Guillorme,NYM,28,54,120,107,24,10,0,1,12,9,0,0.288135593,0.327102803,0.268513405,69.57137642,-0.292751852
17710,Matt Beaty,- - -,30,30,72,61,14,6,5,0,8,4,0,0.347222222,0.295081967,0.300071328,85.34132549,-0.298851002
21078,Trey Cabbage,LAA,26,22,56,53,11,2,0,1,5,7,1,0.232142857,0.320754716,0.237552086,43.73693623,-0.30799765
11342,Jesús Aguilar,OAK,33,36,115,104,23,8,1,5,8,9,0,0.280701754,0.384615384,0.281465876,80.73931906,-0.309243707
8090,Matt Carpenter,SDP,37,76,237,188,33,41,2,5,18,31,1,0.322033898,0.319148936,0.292562008,86.41391234,-0.314149349
18217,Brett Sullivan,SDP,29,32,82,77,17,4,0,1,7,6,0,0.25609756,0.298701298,0.243778887,53.73787348,-0.314682099
24703,Jonah Bride,OAK,27,40,106,88,15,11,4,0,9,7,0,0.285714285,0.204545454,0.23695751,49.87537943,-0.314879108
19422,Brian Serven,COL,28,11,23,23,3,0,0,0,0,1,0,0.130434782,0.173913043,0.130802605,-42.24972432,-0.324147417
23378,Jose Barrero,CIN,25,46,149,133,29,15,0,2,15,17,3,0.295302013,0.32330827,0.276249324,65.12018865,-0.324381025
19957,Blake Rutherford,WSN,26,16,36,35,6,1,0,0,4,2,0,0.194444444,0.171428571,0.16641558,-3.871060432,-0.326842112
26438,Dominic Canzone,- - -,25,58,179,170,38,8,1,6,23,20,1,0.262569832,0.405882352,0.286284216,82.02096647,-0.328119084
19198,Yuli Gurriel,MIA,39,108,327,296,74,26,1,4,32,28,4,0.308868501,0.364864864,0.291215797,79.8801096,-0.328828033
15794,Yonathan Daza,COL,29,24,80,74,20,3,1,0,8,7,1,0.303797468,0.351351351,0.286453095,62.00849596,-0.330065821
12399,Taylor Motter,STL,33,29,82,76,13,5,1,0,3,2,0,0.231707317,0.210526315,0.204407154,24.39581418,-0.339870723
5760,Avisaíl García,MIA,32,37,118,108,20,6,2,3,8,12,2,0.24137931,0.314814814,0.240978034,46.22971845,-0.340822589
9241,Starling Marte,NYM,34,86,341,315,78,16,8,5,38,28,24,0.300884955,0.323809523,0.277806376,75.79601868,-0.344192336
27604,Alika Williams,PIT,24,46,112,101,20,9,1,0,7,6,0,0.27027027,0.247524752,0.23824113,43.26812735,-0.345300686
19458,Cooper Hummel,SEA,28,10,26,23,2,2,1,0,2,0,1,0.192307692,0.130434782,0.163231497,-1.697347968,-0.347559138
25569,Jake Alu,WSN,26,50,175,159,36,10,3,2,14,16,5,0.281609195,0.289308176,0.256074026,56.18419532,-0.350862056
21497,Luken Baker,STL,26,32,95,82,17,13,0,2,8,9,0,0.315789473,0.304878048,0.284351344,77.94424177,-0.352328267
15983,Clint Frazier,CHW,28,33,76,66,13,10,0,0,10,3,4,0.302631578,0.242424242,0.256304928,57.57197832,-0.353847269
22823,Oswald Peraza,NYY,23,51,187,169,33,13,5,2,15,14,4,0.272727272,0.278106508,0.250959932,57.04120201,-0.357354395
22515,Heliot Ramos,SFG,23,25,60,56,10,4,0,1,5,2,0,0.233333333,0.303571428,0.236222979,47.12205106,-0.358312489
5452,Ji Man Choi,- - -,32,38,113,101,17,9,1,6,12,13,0,0.238938053,0.396039603,0.270094435,66.81778454,-0.376482576
21547,Coco Montes,COL,26,18,41,38,7,2,1,1,3,3,0,0.243902439,0.315789473,0.24726912,35.76218304,-0.383077705
15937,Aledmys Díaz,OAK,32,109,344,315,72,17,7,4,25,24,1,0.279883381,0.336507936,0.268180711,71.52683724,-0.393714353
16434,Christian Arroyo,BOS,28,66,206,195,47,7,1,3,23,24,1,0.268292682,0.369230769,0.274207649,64.91507869,-0.397402019
29591,Colton Cowser,BAL,23,26,77,61,7,13,2,0,15,4,1,0.285714285,0.147540983,0.225966774,39.88596894,-0.399232682
3516,Eric Hosmer,CHC,33,31,100,94,22,6,0,2,7,14,0,0.28,0.329787234,0.269148907,66.47418513,-0.406560562
22277,Nick Allen,OAK,24,105,325,299,64,17,1,4,28,19,5,0.257053291,0.277591973,0.238164555,50.71239457,-0.409800295
4892,Mike Moustakas,- - -,34,112,386,352,87,23,3,12,43,48,0,0.292746113,0.392045454,0.293840227,76.88100653,-0.41033338
18067,Garrett Stubbs,PHI,30,40,121,110,21,8,2,1,13,11,1,0.258333333,0.272727272,0.240023221,45.40076281,-0.415223593
17922,Isan Díaz,- - -,27,8,26,24,1,2,0,0,0,1,0,0.115384615,0.041666666,0.087479883,-50.37377872,-0.418061694
16337,Nick Gordon,MIN,27,34,93,91,16,1,0,2,13,7,0,0.184782608,0.318681318,0.21247577,29.61209137,-0.421880134
5273,Sandy León,TEX,34,22,44,41,6,1,1,0,4,4,0,0.186046511,0.195121951,0.172999601,-1.38353847,-0.422021084
17893,Tyler Nevin,DET,26,40,110,94,19,12,3,2,11,10,0,0.309090909,0.319148936,0.284612933,77.97038813,-0.425489651
14811,Luke Voit,MIL,32,22,74,68,15,4,2,0,5,4,2,0.283783783,0.264705882,0.250762941,52.83948227,-0.42956209
29715,Hunter Goodman,COL,23,23,77,70,14,5,0,1,6,17,1,0.246753246,0.385714285,0.265674216,48.09033253,-0.43029022
23690,Brayan Rocchio,CLE,22,22,82,77,20,4,0,0,9,7,0,0.292682926,0.337662337,0.275606262,74.17286553,-0.433402299
26151,Kyle Stowers,BAL,25,14,33,30,2,3,0,0,1,0,0,0.151515151,0.066666666,0.116756452,-35.84497987,-0.435236744
19508,Kyle Lewis,ARI,27,16,54,51,8,3,0,1,2,2,0,0.203703703,0.25490196,0.203526813,21.25929505,-0.437489032
12180,Jorge Alfaro,- - -,30,18,52,48,7,2,2,1,2,4,0,0.211538461,0.291666666,0.222808767,22.92349074,-0.438363711
16947,Derek Hill,WSN,27,13,50,47,8,3,0,0,3,1,1,0.22,0.191489361,0.190178156,12.04565039,-0.451631156
22871,Tucupita Marcano,PIT,23,75,220,202,47,10,3,3,16,18,5,0.276497695,0.356435643,0.275025323,67.90701253,-0.451820012
20242,Kevin Smith,OAK,26,49,146,135,25,5,1,5,15,11,1,0.219858156,0.325925925,0.236277497,49.4038302,-0.452001588
19931,Luke Williams,- - -,26,11,19,19,1,0,0,0,1,0,4,0.052631578,0.052631578,0.046447105,-75.43144803,-0.456265707
19683,Mike Brosseau,MIL,29,29,78,73,15,4,1,4,4,8,0,0.256410256,0.397260273,0.281431681,73.38209841,-0.467620892
10441,Jon Singleton,- - -,31,35,104,90,15,13,0,2,11,12,0,0.269230769,0.266666666,0.246243872,52.33011249,-0.477771845
27735,Brett Wisely,SFG,24,51,131,120,21,9,0,2,10,8,2,0.23076923,0.266666666,0.221863989,37.50407443,-0.480200046
23695,Everson Pereira,NYY,22,26,99,90,14,7,2,0,6,10,4,0.232323232,0.2,0.203261723,23.96529326,-0.487734726
18032,Mark Mathias,- - -,28,27,72,62,14,10,0,0,6,6,3,0.333333333,0.258064516,0.278288744,70.81594306,-0.498574392
12546,C.J. Cron,- - -,33,71,278,258,64,17,1,12,38,37,0,0.294964028,0.434108527,0.312288053,82.11831204,-0.499577861
26467,Luis Matos,SFG,21,76,253,228,57,20,3,2,24,14,3,0.318725099,0.342105263,0.294900038,86.42527307,-0.499732042
15194,Jake Bauers,NYY,27,84,272,242,49,27,0,12,28,30,3,0.279411764,0.41322314,0.29740962,89.25133446,-0.511071532
26319,Michael Busch,LAD,25,27,81,72,12,8,0,2,9,7,1,0.24691358,0.291666666,0.240517565,48.67284601,-0.517897223
21707,Oswaldo Cabrera,NYY,24,114,326,294,63,25,2,5,35,29,8,0.27863777,0.302721088,0.258778453,62.46288737,-0.524154666
26123,Brett Baty,NYM,23,107,386,350,75,29,2,9,41,34,2,0.27748691,0.325714285,0.267643435,68.98865067,-0.525322876
23264,Canaan Smith-Njigba,PIT,24,15,37,32,4,4,0,0,3,5,1,0.216216216,0.21875,0.198939832,16.94322907,-0.527786248
25482,TJ Hopkins,CIN,26,25,44,41,7,2,1,0,7,1,1,0.227272727,0.170731707,0.18853452,6.366827788,-0.561890395
15172,Tim Anderson,CHW,30,123,524,493,121,26,3,1,52,25,13,0.286259541,0.296146044,0.259629197,59.87716362,-0.572865723
20536,Vidal Bruján,TBR,25,37,84,76,13,5,2,0,14,6,3,0.240963855,0.197368421,0.206343177,28.46507049,-0.57964884
14566,Franmil Reyes,KCR,27,19,65,59,11,4,0,2,5,7,0,0.23076923,0.288135593,0.226654446,33.87383201,-0.581944452
22117,Nick Pratto,KCR,24,94,341,302,69,29,6,7,33,34,1,0.304985337,0.350993377,0.290474721,78.12944692,-0.588141901
19717,Darick Hall,PHI,27,18,56,54,9,2,0,1,2,3,0,0.196428571,0.24074074,0.193142445,13.99895798,-0.599811054
12984,Jackie Bradley Jr.,KCR,33,43,113,105,14,5,2,1,10,6,0,0.1875,0.209523809,0.18046847,1.84656852,-0.603454157
17988,Tyler Stephenson,CIN,26,141,514,462,113,47,4,13,59,56,0,0.319066147,0.38095238,0.306844475,85.61351348,-0.608239874
8202,Josh Harrison,PHI,35,41,114,103,21,3,6,2,8,10,0,0.263157894,0.291262135,0.248253113,50.91333056,-0.610018924
13723,Jacob Stallings,MIA,33,88,273,238,46,27,3,3,22,20,0,0.281481481,0.289915966,0.259185506,58.4254958,-0.615547266
18400,Juan Yepez,STL,25,28,65,60,11,4,1,2,5,2,0,0.246153846,0.3,0.243378246,50.49953343,-0.61879823
27845,Matt Mervis,CHC,25,27,99,90,15,8,1,3,8,11,0,0.242424242,0.288888888,0.23853606,45.96900726,-0.627625627
